Depth, If, Switch], Lookup, Optimal branch-predicted If-statment, Precomputed lookup
1, 14.1282133, 13.0459916, 34.3909453, 11.5360476, 11.6997517
2, 14.1820058, 12.7687188, 35.1999634, 12.4915868, 12.4170952
3, 13.3925046, 13.8940574, 34.7179471, 11.5378491, 11.8700946
4, 14.3031926, 14.1450759, 34.6547853, 11.3488607, 11.4881765
5, 14.7905231, 14.187792, 33.6868988, 11.6135066, 11.6254427
6, 15.1260188, 15.0341892, 33.9038964, 11.4113618, 11.5371402
7, 15.3008863, 14.4617076, 32.5402463, 10.9925683, 11.477124
8, 16.4304436, 15.5527859, 33.4933801, 11.5180641, 11.4966174
9, 16.2775373, 15.970371, 34.3455923, 11.4520204, 11.7632202
10, 17.4870402, 17.5753227, 33.8790661, 11.6166611, 13.6020687
11, 20.5839818, 17.4613942, 33.8333893, 11.6778474, 11.3942379
12, 18.5277046, 18.5384459, 34.37216, 11.2787129, 11.4951777
13, 18.4106896, 17.9739577, 33.9961168, 11.6060779, 11.3899345
14, 19.2668057, 19.7251425, 33.7188786, 11.4901251, 11.3883827
15, 18.7691776, 19.0741639, 32.8352452, 11.3411895, 11.3369828
16, 19.2338494, 19.0277845, 32.644382, 11.366854, 11.3484671
17, 19.5343495, 20.0171932, 33.7726944, 12.5915473, 13.0327321
18, 22.3081705, 20.0126032, 33.8988716, 11.4624285, 11.8625449
19, 20.5505703, 20.3547859, 32.7734068, 11.510452, 11.8900836
20, 22.0264746, 21.0854606, 33.5437905, 11.2354238, 11.4074762
21, 21.7818523, 20.9723571, 36.5726106, 13.0489912, 11.6782794
22, 22.8152298, 22.8170541, 33.9433362, 12.8829504, 11.5480038
23, 22.8854988, 23.1879163, 36.4564192, 11.1749854, 11.2576725
24, 23.7588466, 24.3725935, 34.552332, 11.851891, 11.9568539
25, 25.0417459, 24.8568713, 33.6310867, 11.9297415, 11.6714759
26, 26.1313067, 24.9823088, 38.5311122, 13.7122655, 11.8435583
27, 25.3965811, 27.9844445, 33.9800173, 13.5248993, 13.0746717
28, 25.6373817, 26.2915682, 34.4565217, 11.6852909, 11.9671433
29, 26.8097328, 26.4391164, 34.0797635, 11.8762616, 11.6294378
